seed,model_3_lat_r2,model_3_long_r2,model_3_avg_r2,model_2_lat_r2,model_2_long_r2,model_2_avg_r2,lat_improvement,long_improvement,avg_improvement,lat_improvement_pct,long_improvement_pct,avg_improvement_pct
0,0.10186563507476998,0.13671542225343558,0.11929052866410278,0.07125560643574236,0.11489346878404527,0.09307453760989381,0.03061002863902762,0.02182195346939031,0.026215991054208965,42.95806347060067,18.993206228638666,28.16666268500721
1,0.10147252647842375,0.13616653631016928,0.11881953139429652,0.0678317302312732,0.11656517424896917,0.09219845224012119,0.03364079624715055,0.01960136206120011,0.02662107915417533,49.594483485017705,16.815796130784282,28.873672504657154
2,0.09680237849590112,0.13903176632124015,0.11791707240857063,0.06575032214503329,0.11631714209089039,0.09103373211796184,0.03105205635086783,0.022714624230349756,0.026883340290608793,47.227230738691475,19.528182881763474,29.531185490421574
3,0.09698249850579865,0.13918621470860904,0.11808435660720384,0.06372576112293415,0.11640628889459126,0.0900660250087627,0.0332567373828645,0.022779925814017776,0.028018331598441137,52.18727371291575,19.569325704254307,31.10865789371206
4,0.09131018275381309,0.14010183756316075,0.11570601015848692,0.06888635632505724,0.11934800393222511,0.09411718012864118,0.022423826428755844,0.020753833630935636,0.02158883002984574,32.55191249039722,17.38934288563489,22.938245706403137
5,0.10198678675296502,0.1388062151775924,0.12039650096527871,0.0701138021009513,0.1155600575445268,0.09283692982273906,0.031872984652013714,0.02324615763306559,0.02755957114253965,45.45893061985475,20.11608346950549,29.686000167348638
6,0.0993020647973284,0.13770539693276274,0.11850373086504556,0.0692921140996795,0.11357064023870556,0.09143137716919253,0.03000995069764889,0.02413475669405718,0.027072353695853035,43.30933048813948,21.250876673170247,29.609478205448013
7,0.09749558739661213,0.13751022363020848,0.1175029055134103,0.07591097587925177,0.12164779903434864,0.0987793874568002,0.021584611517360353,0.015862424595859848,0.0187235180566101,28.434111493565883,13.039631396356716,18.95488374515237
8,0.09979976643822841,0.1380244190067953,0.11891209272251185,0.07304314820643765,0.12123882884582615,0.0971409885261319,0.026756618231790763,0.016785590160969144,0.021771104196379953,36.63125000605132,13.845061289988712,22.411861899596904
9,0.10336742871289761,0.1411867288826576,0.1222770787977776,0.06677656296208911,0.12101222925793931,0.09389439611001421,0.0365908657508085,0.02017449962471829,0.028382682687763394,54.79597051375965,16.671455230955257,30.22830314016607
